,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2662792000.0,4221191000.0,3188928000.0,4000000000.0,5577000000.0,4691000000.0,6817000000.0,2848000000.0,4105000000.0,1832000000.0,1816000000.0,2120000000.0,2202000000.0,901000000.0,1101000000.0,1379000000.0,2154000000.0
net_income,0.0,348251000.0,1779474000.0,1354906000.0,559187000.0,1980000000.0,751000000.0,850000000.0,1023000000.0,477000000.0,5936000000.0,-2601000000.0,760000000.0,556000000.0,845000000.0,1969000000.0,-1269000000.0
eps_diluted,0.0,0.25,1.36,1.02,0.42,1.51,0.57,0.65,0.82,0.39,5.3,-2.51,0.8,0.69,1.21,3.25,-2.27
depreication,0.0,601621000.0,719814000.0,810946000.0,762000000.0,940000000.0,1200000000.0,660000000.0,682000000.0,687000000.0,682000000.0,676000000.0,635000000.0,600000000.0,583000000.0,502000000.0,442000000.0
long_term_debt,0.0,0.0,3705087000.0,3641968000.0,6010741000.0,8828396000.0,15456000000.0,16758000000.0,25131000000.0,9012000000.0,11356000000.0,12793000000.0,12139000000.0,10804000000.0,11742000000.0,12349000000.0,11992000000.0
long_term_assets,0.0,0.0,9305849000.0,9948112000.0,10938424000.0,14659000000.0,15676000000.0,18205000000.0,18601000000.0,9851000000.0,14972000000.0,18242000000.0,15693000000.0,13468000000.0,12120000000.0,17515000000.0,11560000000.0
revenue,0.0,0.0,0.0,8727362000.0,9156274000.0,11651654000.0,14072000000.0,16047000000.0,17902000000.0,0.0,9298000000.0,2707000000.0,2877000000.0,2236000000.0,2478000000.0,2613000000.0,9795000000.0
