,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-672286.0,-5090621.0,-3192384.0,-3532044.0,-5734791.0,-4580237.0,-6053362.0,-5617581.0,-5570905.0,-3425986.0,-467266.0,-3444795.0,-8361205.0,-10773792.0,-24687509.0,-21025314.0,-24321724.0,-26601235.0,-23653963.0,-21900000.0,-22215000.0,-24774000.0,-33017000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.0,196135.0,5703798.0,5618669.0,5533366.0,6706802.0,25643273.0,20519294.0,17399636.0,13673308.0,9254000.0,63560000.0,77829000.0,108910000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,3010.0,13920.0,162433.0,106112.0,138408.0,498149.0,559789.0,1582000.0,1472000.0,639000.0,3250000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,581.0,1560.0,37908.0,53465.0,77523.0,0.0,50721.0,420000.0,447000.0,524000.0,699000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144000.0,1030000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.37
