,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-8867.0,-13537.0,-13858.0,-18081.0,-1731.0,-12692.0,-15821.0,-19881.0,-14674.0,-16971.0,-13493.0,-11825.0,-20263.0,-80228.0,-378040.0,-3339768.0,-7391907.0,-8751586.0,-12013542.0,-8035372.0,-24212783.0,-37292902.0,-32293271.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,447.0,1475330.0,125063.0,438629.0,174494.0,111051.0,0.0,11637.0,7906782.0,3794734.0,706224.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,1360.0,1020.0,60063.0,386729.0,170839.0,193607.0,65056.0,202425.0,2493983.0,2763487.0,4698017.0,3340585.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,-340.0,-869.0,6814.0,13739.0,0.0,0.0,42218.0,57492.0,157761.0,397440.0,586109.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95653.0,80898.0,453006.0,1212870.0,4299717.0,4796474.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44,-1.6
