,2021,2022
revenue,106734149.0,74444141.0
net_income,8468396.0,947807.0
eps_diluted,0.24,0.03
cash_and_equiv,10164338.0,12863817.0
long_term_debt,56382589.0,69307482.0
long_term_assets,34875484.0,30135848.0
depreication,798813.0,565906.0
