,2020,2021,2022
revenue,4821000.0,268000.0,44703000.0
net_income,-17706000.0,-50865000.0,5342000.0
eps_diluted,-2.24,-1.96,0.14
cash_and_equiv,43266000.0,214054000.0,194385000.0
long_term_assets,2765000.0,53950000.0,57164000.0
depreication,208000.0,602000.0,4323000.0
