,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-236000.0,-2458000.0,-8303000.0,-23566000.0,-44408000.0,-55686000.0,-30664000.0,-18292000.0,-23648000.0,-18682000.0,-5275000.0,28388000.0,-7589000.0,-5964000.0,69713000.0,-3682000.0,-23140000.0,-30287000.0,-69421000.0,-104916000.0,-83009000.0,-92718000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15466000.0,8934000.0,8691000.0,5882000.0,11029000.0,7279000.0,8391000.0,4245000.0,1716000.0,58910000.0,87721000.0,85451000.0,25218000.0,24983000.0,32190000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597000.0,509000.0,525000.0,1008000.0,1506000.0,1309000.0,1002000.0,423000.0,155000.0,974000.0,1182000.0,3917000.0,6630000.0,7383000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-0.11,-0.1,-0.13,-0.12,0.86,-0.05,0.0,0.0,0.0,0.0,-1.5,-1.65
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3514000.0,8591000.0,17451000.0,27016000.0,25974000.0,10828000.0,19365000.0,13942000.0,35809000.0,39501000.0,52453000.0,82170000.0,93282000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561000.0,1892000.0,1871000.0,18109000.0,1716000.0,499000.0,1255000.0,29977000.0,35295000.0,34303000.0,40493000.0,44147000.0,29250000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,0.0,0.0,0.0,0.0,1880000.0,3395000.0,0.0,0.0,0.0,0.0,0.0
