,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,343224000.0,321863000.0,0.0,381844000.0,731549000.0,341228000.0,597461000.0,776403000.0,0.0,971895000.0,1224975000.0,434152000.0,523308000.0,402226000.0,1369028000.0,815750000.0,1275943000.0,814887000.0
revenue,0.0,7219359000.0,2206627000.0,2093806000.0,2232367000.0,2910239000.0,3033260000.0,3290099000.0,3520447000.0,3612820000.0,11026147000.0,8394684000.0,2181546000.0,10266887000.0,10488556000.0,9238830000.0,11841840000.0,11612475000.0
net_income,0.0,591621000.0,233875000.0,217920000.0,242787000.0,257318000.0,334168000.0,367667000.0,470529000.0,459864000.0,264333000.0,-90269000.0,463509000.0,465003000.0,-483776000.0,407869000.0,1386941000.0,118584000.0
eps_diluted,0.0,5.22,0.0,1.94,2.22,2.28,0.75,0.82,1.08,1.07,0.63,-0.23,1.16,1.16,-1.22,1.04,3.53,0.31
long_term_debt,0.0,0.0,0.0,1012182000.0,1095789000.0,3468326000.0,3534622000.0,2970529000.0,0.0,3016713000.0,4060474000.0,4896173000.0,3138829000.0,4748619000.0,5609398000.0,7901338000.0,8382420000.0,10163847000.0
long_term_assets,0.0,0.0,0.0,3780858000.0,3841301000.0,6125182000.0,6183438000.0,6286297000.0,0.0,5813731000.0,5446189000.0,5580738000.0,5627987000.0,5683328000.0,6106235000.0,8968159000.0,8754128000.0,8837779000.0
depreication,0.0,0.0,0.0,0.0,170452000.0,198735000.0,237956000.0,253273000.0,0.0,274883000.0,281577000.0,238320000.0,59594000.0,255729000.0,267619000.0,269081000.0,266935000.0,262324000.0
