,2021,2022
revenue,37271337.0,185625462.0
net_income,-32582757.0,44413352.0
eps_diluted,-0.76,0.2
cash_and_equiv,8622815.0,7123068.0
long_term_assets,109665878.0,304021515.0
depreication,23497715.0,62082471.0
