,2020,2021,2022
revenue,53967000.0,82109000.0,74379000.0
net_income,10217000.0,17866000.0,14684000.0
eps_diluted,0.48,0.74,0.61
cash_and_equiv,27774000.0,40017000.0,45054000.0
long_term_assets,60093000.0,41107000.0,37507000.0
depreication,10377000.0,14859000.0,13434000.0
