,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1425000.0,451000,18902000,4182000,3550000,2563000,23440000,31657000,53840000,35628000
revenue,0.0,352000,1201000,835000,335000,153000,7910000,12634000,5169000,6071000
net_income,0.0,-24144000,-26167000,-27843000,-18056000,-20563000,-20596000,-19308000,-20171000,-18836000
long_term_debt,0.0,43463000,9297000,7867000,5840000,2879000,17200000,8180000,4442000,5022000
long_term_assets,0.0,720000,24411000,11904000,11732000,11443000,4681000,5631000,4039000,2806000
depreication,0.0,342000,232000,250000,246000,231000,182000,215000,169000,162000
