,2016,2017,2018,2019,2020,2021,2022
revenue,34228000.0,40433000.0,52776000.0,62656000.0,49244000.0,55312000.0,65206000.0
net_income,-11234000.0,-4924000.0,-6143000.0,-7554000.0,-3657000.0,-31193000.0,-37159000.0
depreication,700000.0,600000.0,900000.0,1100000.0,900000.0,1100000.0,1600000.0
cash_and_equiv,0.0,29147000.0,104583000.0,75708000.0,48957000.0,94141000.0,70340000.0
long_term_debt,0.0,41550000.0,43954000.0,58841000.0,48302000.0,51038000.0,69153000.0
long_term_assets,0.0,1933000.0,2549000.0,11717000.0,13645000.0,25892000.0,18115000.0
eps_diluted,0.0,0.0,0.0,-1.58,-1.46,-1.22,-1.38
