,2019,2020,2021,2022
revenue,78089000.0,161123000.0,308150000.0,519029000.0
net_income,-91611000.0,-152203000.0,-129294000.0,-136867000.0
cash_and_equiv,171601000.0,129814000.0,886812000.0,885894000.0
depreication,579000.0,1888000.0,2746000.0,5913000.0
eps_diluted,0.0,-14.19,-4.53,-2.99
long_term_assets,0.0,9797000.0,19699000.0,115198000.0
