,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,371589000.0,138475000.0,69242000.0,86419000.0,64298000.0,62363000.0,25700000.0,102700000.0,57700000.0,321900000.0,378100000.0,184300000.0,318200000.0,528700000.0,371200000.0,272100000.0
eps_diluted,0.0,-1.53,0.07,-0.01,0.27,0.59,0.65,0.26,-0.19,0.87,0.1,-0.42,-0.2,-0.09,-0.84,-8.82
depreication,0.0,7657000.0,12455000.0,5811000.0,4276000.0,8290000.0,6539000.0,6600000.0,13100000.0,63100000.0,159000000.0,163400000.0,197700000.0,188500000.0,177900000.0,180300000.0
net_income,0.0,0.0,9222000.0,-1400000.0,37830000.0,88763000.0,98185000.0,40700000.0,-30600000.0,193000000.0,22900000.0,-91200000.0,-44900000.0,-18900000.0,-188200000.0,-2010200000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966600000.0,7506500000.0,7163700000.0,7014500000.0,6643100000.0,7119500000.0,7933100000.0,6307800000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142700000.0,933200000.0,998500000.0,944300000.0,3271500000.0,3604300000.0,3854800000.0
