,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,151471000.0,178467000.0,80135000.0,88279000.0,88279000.0,324422000.0,405505000.0,478573000.0,181988000.0,323992000.0,368046000.0,634897000.0,607000000.0,650000000.0,711000000.0,483000000.0
net_income,0.0,229628000.0,195526000.0,263557000.0,266866000.0,254134000.0,353544000.0,414543000.0,419247000.0,405031000.0,295665000.0,339781000.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,2.86,2.46,3.26,3.26,3.09,4.29,5.06,5.16,5.05,3.72,3.79,4.0,3.21,1.1,-7.32
depreication,0.0,75986000.0,78525000.0,79242000.0,75327000.0,76667000.0,83227000.0,89354000.0,89597000.0,102469000.0,117967000.0,173792000.0,323000000.0,325000000.0,1156000000.0,1179000000.0
long_term_debt,0.0,0.0,1419203000.0,1582518000.0,1459502000.0,1661053000.0,1493180000.0,1461130000.0,1792878000.0,2223668000.0,2413168000.0,5723485000.0,5969543000.0,6348112000.0,14604000000.0,14308000000.0
long_term_assets,0.0,0.0,1516708000.0,1547260000.0,1648361000.0,1673505000.0,1678828000.0,1784594000.0,2264901000.0,2407970000.0,2702382000.0,9947535000.0,10344867000.0,10495000000.0,32671000000.0,27975000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3116350000.0,3398719000.0,3977539000.0,5140000000.0,5084000000.0,11656000000.0,12440000000.0
