,2017,2018,2019,2020,2021,2022
revenue,2872000.0,27508000.0,21219000.0,21098000.0,207085000.0,133617000.0
net_income,-32480000.0,-17373000.0,-30527000.0,-190228000.0,-36329000.0,-133310000.0
cash_and_equiv,32451000.0,65470000.0,89641000.0,49969000.0,329152000.0,154323000.0
depreication,680000.0,1019000.0,3775000.0,5870000.0,6329000.0,5714000.0
long_term_assets,0.0,15183000.0,64476000.0,66740000.0,64945000.0,61213000.0
eps_diluted,0.0,0.0,0.0,-2.45,-0.45,-1.62
