,2020,2021,2022
revenue,14678000.0,22593000.0,49005000.0
net_income,27575000.0,-48688000.0,-66756000.0
eps_diluted,0.15,-3.57,-2.41
cash_and_equiv,13994000.0,24361000.0,11834000.0
long_term_assets,19177000.0,16426000.0,15609000.0
depreication,3853000.0,3975000.0,3884000.0
