,2015,2016,2017,2018,2019,2020,2021,2022
revenue,98588000.0,198141000.0,90597000.0,126090000.0,158153000.0,551451000.0,951373000,1655035000.0
net_income,-1636000.0,3838000.0,2267000.0,12450000.0,13171000.0,77553000.0,109244000,84387000.0
eps_diluted,-0.41,-0.66,0.02,0.11,0.12,0.68,0,0.62
depreication,969000.0,1634000.0,2655000.0,2804000.0,4554000.0,6118000.0,14415000,15482000.0
cash_and_equiv,0.0,29476000.0,87709000.0,34887000.0,59920000.0,190299000.0,231944000,469517000.0
long_term_assets,0.0,14824000.0,19390000.0,73432000.0,174669000.0,170322000.0,368466000,369736000.0
