,2018,2019,2020,2021,2022
revenue,173000.0,49000.0,0.0,0.0,50825000.0
net_income,1913035.0,-26279000.0,-142236000.0,-690438000.0,-784238000.0
eps_diluted,-0.28,-0.16,-0.38,-1.74,-1.78
cash_and_equiv,1168600.0,85688000.0,840913000.0,497241000.0,233405000.0
long_term_debt,849331.0,20638000.0,56373000.0,180609000.0,383590000.0
long_term_assets,235314421.0,138549000.0,156796000.0,465090000.0,799732000.0
depreication,625000.0,2323000.0,6008000.0,8231000.0,23300000.0
