,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,277628.0,1384235.0,1504596.0,7085235.0,2550152.0,1266873.0,4912442.0,16605872.0
revenue,0.0,16094892.0,21172091.0,30135295.0,26216515.0,19171358.0,24320121.0,27095197.0
net_income,0.0,3483441.0,4945764.0,4603708.0,1421781.0,-8441559.0,1512364.0,3235559.0
eps_diluted,0.0,0.23,0.33,0.22,0.05,-0.33,0.05,0.1
depreication,0.0,837649.0,830328.0,1219892.0,1466522.0,2264957.0,3106082.0,3458347.0
long_term_debt,0.0,0.0,10160919.0,8968673.0,8072423.0,10843034.0,29320805.0,13369555.0
long_term_assets,0.0,0.0,8848597.0,23363553.0,43101303.0,51923803.0,79579277.0,77442046.0
