,2012,2013,2014,2015,2016,2017,2021,2022
net_income,-870320.0,-2607768.0,-7293745.0,-26890210.0,-98447858,-26718685,-5730414,-27035941
cash_and_equiv,0.0,1132974.0,1241489.0,450868.0,4125888,4877720,10426249,6720543
long_term_debt,0.0,3799440.0,8605210.0,29159540.0,32206809,35341274,9831204,13997313
long_term_assets,0.0,265954.0,9971905.0,7414760.0,5097878,2080684,567917,26847453
revenue,0.0,0.0,0.0,2885007.0,7014978,7700948,43109,32022
depreication,0.0,0.0,0.0,0.0,2482604,2497408,84287,883231
