,2021,2022
revenue,14074649.0,19393343.0
net_income,-5977407.0,-7145320.0
eps_diluted,-1.51,-0.71
cash_and_equiv,1500582.0,15916141.0
long_term_debt,6571972.0,7334887.0
long_term_assets,3511392.0,11950537.0
