,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,34891000.0,175894000.0,57613000.0,119423000.0,99780000.0,78592000.0,140622000.0,177321000.0,234674000.0,208802000.0,115326000.0
net_income,0.0,-77370000.0,-80682000.0,-32928000.0,-22168000.0,-10945000.0,-15631000.0,4260000.0,4917000.0,-26458000.0,-37303000.0
depreication,0.0,1216000.0,1962000.0,3153000.0,5652000.0,7677000.0,9006000.0,8460000.0,9150000.0,10251000.0,10624000.0
long_term_debt,0.0,0.0,17669000.0,51724000.0,133113000.0,147544000.0,213828000.0,235735000.0,543517000.0,704818000.0,724286000.0
long_term_assets,0.0,0.0,6046000.0,13432000.0,20208000.0,20164000.0,18424000.0,39501000.0,52542000.0,65969000.0,80119000.0
revenue,0.0,0.0,0.0,0.0,30242000.0,53661000.0,69674000.0,99234000.0,143953000.0,133213000.0,128429000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,0.04,0.04,-0.25,-0.36
