,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,8571000.0,12539000.0,1167000.0,73000.0,4038000.0,7909000.0,5826000.0,16319000.0,39252000.0,34203000.0
net_income,0.0,1474000.0,1870000.0,6983000.0,8009000.0,10188000.0,6879000.0,9567000.0,16534000.0,58214000.0
eps_diluted,0.0,0.13,0.1,0.38,0.43,0.54,0.37,0.51,0.87,3.12
depreication,0.0,2472000.0,3278000.0,3444000.0,3231000.0,5086000.0,7787000.0,10527000.0,11630000.0,13614000.0
long_term_debt,0.0,0.0,142529000.0,96608000.0,71362000.0,126062000.0,182287000.0,164025000.0,167432000.0,149721000.0
long_term_assets,0.0,0.0,60347000.0,64441000.0,61669000.0,139738000.0,194409000.0,151180000.0,166233000.0,150942000.0
revenue,0.0,0.0,0.0,0.0,78435000.0,121541000.0,99628000.0,103745000.0,155532000.0,707862000.0
