,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,86644.0,18208.0,67.0,513272,190820,114000.0,52000,1000,445000,7619,71807,196153
revenue,0.0,438122.0,595506.0,105692,366447,0.0,250000,1089000,1014000,2123587,4956552,7987902
net_income,0.0,-6856756.0,-4589036.0,-8230466,1953054,0.0,-1661000,-5190000,-2983000,-3491241,-4964182,-6079824
long_term_assets,0.0,2422258.0,179645.0,3227,1488112,0.0,1575000,1501000,1968000,2536483,5617203,5464516
depreication,0.0,2065723.0,1168034.0,14179,7875,0.0,160000,407000,655000,906060,1430805,1292085
long_term_debt,0.0,0.0,0.0,13120630,10180643,0.0,4405000,3939000,1936000,3185195,5592734,8248230
