,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,11819505.0,13366777.0,8908080.0,2968104.0,10977974.0,5658683.0,3539911.0,2012283.0,5529848.0,41652000.0,225000.0,7440000.0,223382000.0,312315000.0,230328000.0
net_income,0.0,-15517565.0,-13337719.0,-1557000.0,-2504000.0,-3130000.0,-2370000.0,-2956000.0,-4272837.0,-19845873.0,-58008000.0,-20039000.0,-14114000.0,-15437000.0,-509553000.0
depreication,0.0,388203.0,492160.0,490515.0,430228.0,326534.0,288751.0,253818.0,628572.0,890889.0,5267000.0,119000.0,4494000.0,26324000.0,107950000.0
long_term_assets,0.0,0.0,4852484.0,4406801.0,4086433.0,3879142.0,3828070.0,4450145.0,3297325.0,9944555.0,11549000.0,17752000.0,43882000.0,957400000.0,876583000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269657.0,7845000.0,6837000.0,12081000.0,213243000.0,259171000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,-0.33,-0.17,-3.66
