,2018,2019,2020,2021,2022
revenue,691710000.0,202922000.0,219567000.0,965046000.0,1099082000.0
net_income,142112000.0,36251000.0,51932000.0,93192000.0,174780000.0
eps_diluted,0.49,0.13,0.17,0.3,0.55
depreication,29200000.0,32160000.0,36117000.0,52793000.0,71537000.0
cash_and_equiv,0.0,121101000.0,122006000.0,329337000.0,71684000.0
long_term_debt,0.0,626163000.0,711555000.0,2029866000.0,2409054000.0
long_term_assets,0.0,641041000.0,785777000.0,2043412000.0,2749110000.0
