,2017,2018,2019,2020,2021,2022
revenue,2708000.0,3126000.0,980000.0,1734000.0,1095415000.0,1615797000.0
net_income,-69852000.0,-26393000.0,-63771000.0,-105649000.0,528584000.0,515837000.0
cash_and_equiv,187918000.0,47598000.0,109335000.0,436575000.0,347815000.0,848631000.0
depreication,255000.0,1618000.0,3294000.0,4400000.0,5278000.0,6251000.0
long_term_assets,0.0,73813000.0,109076000.0,146396000.0,391447000.0,283011000.0
eps_diluted,0.0,0.0,-0.71,-0.83,3.96,3.83
