,2019,2020,2021,2022
revenue,82558000.0,148757000.0,271878000.0,526916000.0
net_income,1147262.0,-18114000.0,-107659000.0,-65678000.0
eps_diluted,-2.07,-0.51,-0.58,-0.32
cash_and_equiv,1510341.0,27344000.0,71784000.0,46772000.0
long_term_assets,203107342.0,5613000.0,150680000.0,149746000.0
depreication,260000.0,1057000.0,4075000.0,7474000.0
