,2019,2020,2021,2022
revenue,8072120.0,739628.0,12853000.0,15935000.0
net_income,-47583455.0,-59762769.0,-34579000.0,-41015000.0
eps_diluted,-2.57,-1.76,-0.7,-0.67
long_term_debt,27166802.0,22029859.0,17737000.0,28679000.0
long_term_assets,12455438.0,33462832.0,32453000.0,29387000.0
depreication,2567742.0,2856914.0,1800000.0,1400000.0
cash_and_equiv,0.0,65316481.0,57494000.0,93283000.0
