,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,125607000.0,278370000.0,446656000.0,258693000.0,179845000.0,243415000.0,120526000.0,159793000.0,128381000.0,236484000.0,925699000.0,165485000.0,193555000.0,205063000.0,255828000.0,141797000.0
net_income,0.0,82037000.0,220877000.0,-53900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.4,1.07,0.16,0.18,0.14,0.25,0.06,0.03,0.19,0.08,0.55,0.13,1.19,1.55,1.9
depreication,0.0,257255000.0,277186000.0,304205000.0,319499000.0,316344000.0,322037000.0,353143000.0,345464000.0,452326000.0,522376000.0,639514000.0,658201000.0,652069000.0,680422000.0,727595000.0
long_term_debt,0.0,0.0,814714000.0,874703000.0,4202618000.0,4729956000.0,5140823000.0,5473190000.0,5687509000.0,7297738000.0,8373444000.0,9633598000.0,10614088000.0,10699009000.0,11290521000.0,12486559000.0
long_term_assets,0.0,0.0,5639732000.0,5203931000.0,5126808000.0,5334247000.0,5673791000.0,5605546000.0,5492675000.0,8374693000.0,9025072000.0,10649104000.0,12580477000.0,12879480000.0,13008764000.0,14593369000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511453000.0,991235000.0,1061489000.0,1581497000.0,4147270000.0,4491531000.0,5103574000.0
