,2018,2019,2020,2021,2022
revenue,6701071,15126026,12835198,14385828,16185682
net_income,-3053743,-6497230,-5542438,-10542247,-18312806
cash_and_equiv,194316,373689,2623952,7118980,763211
long_term_debt,13831173,9597255,10436609,5293045,3818528
long_term_assets,10406678,17840503,14988637,18161687,6873679
depreication,651066,1552919,1722465,1649187,1626614
