,2017,2018,2019,2020,2021,2022
cash_and_equiv,757202000.0,883991000.0,837916000.0,3366176000.0,2118730000.0,1417390000.0
revenue,0.0,2533048000.0,670514000.0,848819000.0,3699627000.0,5235280000.0
eps_diluted,0.0,2.9,0.08,5.59,6.31,-13.55
net_income,0.0,0.0,22895000.0,269726000.0,597547000.0,-1170170000.0
long_term_debt,0.0,0.0,817268000.0,1470901000.0,3481503000.0,3149988000.0
long_term_assets,0.0,0.0,2868152000.0,5042387000.0,9226374000.0,7832500000.0
