,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,54030000.0,63821000.0,57400000.0,86800000.0,65800000.0,116400000.0,168100000.0,227800000.0,294000000.0,246100000.0,83200000.0,217300000.0,233200000.0,172000000.0,157000000.0
net_income,0.0,13655000.0,311000.0,23300000.0,19800000.0,26000000.0,21200000.0,24900000.0,24200000.0,14600000.0,23800000.0,38600000.0,27500000.0,16200000.0,77100000.0
eps_diluted,0.0,0.37,0.52,0.62,0.51,0.66,0.54,0.66,0.64,0.39,0.63,1.01,0.72,0.43,2.1
long_term_debt,0.0,0.0,63487000.0,139877000.0,133900000.0,167100000.0,135600000.0,174900000.0,151400000.0,210400000.0,473500000.0,495900000.0,462800000.0,399100000.0,534800000.0
long_term_assets,0.0,0.0,138783000.0,163167000.0,176300000.0,193800000.0,167500000.0,159700000.0,173700000.0,365900000.0,778200000.0,805000000.0,793000000.0,760100000.0,914700000.0
depreication,0.0,0.0,15756000.0,16100000.0,18800000.0,25600000.0,23400000.0,23900000.0,24300000.0,28100000.0,43300000.0,48300000.0,51500000.0,52600000.0,49500000.0
revenue,0.0,0.0,0.0,465100000.0,519800000.0,772800000.0,881100000.0,809100000.0,230100000.0,264000000.0,257200000.0,300800000.0,295500000.0,288700000.0,1179600000.0
