,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,5373000.0,7091000.0,11920000.0,11989000.0,21640000.0,53417000.0,16676000.0
revenue,0.0,158406000.0,150000000.0,144568000.0,170086000.0,268020000.0,293572000.0
net_income,0.0,-4757000.0,-7515000.0,2325000.0,11608000.0,-9079000.0,-101146000.0
eps_diluted,0.0,-0.12,-0.17,0.05,0.19,-0.11,-1.13
depreication,0.0,7659000.0,7027000.0,7366000.0,6825000.0,12709000.0,13054000.0
long_term_debt,0.0,0.0,55863000.0,54418000.0,140861000.0,131591000.0,132351000.0
long_term_assets,0.0,0.0,81186000.0,128772000.0,252223000.0,391952000.0,332301000.0
