,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-7894984.0,-11662426.0,-724324.0,-659653.0,-3716.0,-2146753.0,-8821816.0,-33316000.0,-32147000.0,-19925000.0,-27128000.0,-16540000.0
eps_diluted,-0.12,0.0,0.0,0.0,0.0,-0.06,-0.17,0.0,0.0,-0.33,-0.4,-0.24
long_term_debt,3343000.0,4762959.0,2838134.0,0.0,7480820.0,13869150.0,8088000.0,14440000.0,15063000.0,16476000.0,17613000.0,17869000.0
long_term_assets,1316553.0,1107381.0,3196193.0,0.0,1618156.0,4015125.0,5546000.0,5698000.0,6729000.0,6139000.0,8935000.0,7490000.0
depreication,0.0,0.0,246000.0,0.0,223000.0,332000.0,510000.0,607000.0,0.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,21201000.0,31557000.0,46291000.0,59257000.0,67449000.0,72050000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18812000.0,16697000.0,28219000.0,20300000.0
